name,type,genre,episodes,popularity,averageScore,rating,animeYear
Gintama: THE FINAL,MOVIE,"Action,Comedy,Drama,Sci-Fi",1,22929,92,92,2021
Fruits Basket: The Final,TV,"Comedy,Drama,Psychological,Romance,Slice of Life,Supernatural",13,90882,91,91,2021
Gintama°,TV,"Action,Comedy,Drama,Sci-Fi",51,73808,90,91,2016
Shingeki no Kyojin 3 Part 2,TV,"Action,Drama,Fantasy,Mystery",10,333571,90,90,2019
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,TV,"Action,Adventure,Drama,Fantasy",64,412735,90,90,2010
3-gatsu no Lion 2,TV,"Drama,Slice of Life",22,88936,89,90,2018
Owarimonogatari (Ge),TV,"Comedy,Mystery,Psychological,Romance,Supernatural",7,78439,89,89,2017
HUNTER×HUNTER (2011),TV,"Action,Adventure,Fantasy",148,479621,89,89,2013
Steins;Gate,TV,"Drama,Psychological,Sci-Fi,Thriller",24,343270,89,89,2011
Gintama',TV,"Action,Comedy,Drama,Sci-Fi",51,68116,89,89,2012
Gintama': Enchousen,TV,"Action,Comedy,Drama,Sci-Fi",13,52529,89,89,2013
Violet Evergarden Movie,MOVIE,"Drama,Fantasy,Slice of Life",1,94216,88,89,2020
Gintama.,TV,"Action,Comedy,Drama,Sci-Fi",12,50871,88,88,2017
Ginga Eiyuu Densetsu,OVA,"Drama,Sci-Fi",110,48880,88,89,1993
SPY×FAMILY,TV,"Action,Comedy,Slice of Life,Supernatural",12,176571,88,88,2022
Kimetsu no Yaiba: Yuukaku-hen,TV,"Action,Adventure,Drama,Fantasy,Supernatural",11,170754,88,88,2022
Koe no Katachi,MOVIE,"Drama,Romance,Slice of Life",1,376066,88,88,2016
Mob Psycho 100 II,TV,"Action,Comedy,Psychological,Slice of Life,Supernatural",13,246349,88,88,2019
Monogatari Series: Second Season,TV,"Comedy,Drama,Mystery,Psychological,Romance,Supernatural",26,112865,88,88,2014
Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,"Comedy,Psychological,Romance,Slice of Life",,108931,87,88,2022
MONSTER,TV,"Drama,Horror,Mystery,Psychological,Thriller",74,147305,87,87,2005
Shingeki no Kyojin: The Final Season,TV,"Action,Drama,Fantasy,Mystery",16,350798,87,87,2021
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,"Comedy,Drama,Sports",10,225018,87,87,2017
Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,MOVIE,"Action,Comedy,Sci-Fi",1,33927,87,87,2013
Shoujo☆Kageki Revue Starlight Movie,MOVIE,"Action,Drama,Music,Psychological",1,6102,87,88,2021
Kizumonogatari III: Reiketsu-hen,MOVIE,"Action,Drama,Ecchi,Mystery,Psychological,Supernatural",1,87824,87,87,2017
CLANNAD: After Story,TV,"Drama,Romance,Slice of Life,Supernatural",24,143247,87,87,2009
Shingeki no Kyojin: The Final Season Part 2,TV,"Action,Drama,Fantasy,Mystery,Psychological",12,183346,87,87,2022
Ashita no Joe 2,TV,"Action,Drama,Slice of Life,Sports",47,10418,87,88,1981
Shiguang Dailiren,ONA,"Drama,Mystery,Supernatural,Thriller",11,49945,87,87,2021
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,"Action,Comedy,Drama,Sci-Fi",14,33035,87,87,2018
Modao Zushi 3,ONA,"Action,Adventure,Drama,Fantasy,Mystery,Supernatural",12,10360,87,88,2021
Vinland Saga,TV,"Action,Adventure,Drama",24,235293,87,87,2020
Jujutsu Kaisen,TV,"Action,Drama,Supernatural",24,452086,87,87,2021
ONE PIECE,TV,"Action,Adventure,Comedy,Drama,Fantasy",,342351,87,87,1999
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,Drama,12,37419,87,87,2017
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,"Adventure,Drama,Ecchi,Fantasy",12,122606,86,86,2022
Code Geass: Hangyaku no Lelouch R2,TV,"Action,Drama,Mecha,Sci-Fi,Thriller",25,209705,86,87,2008
Mushishi Zoku Shou 2,TV,"Adventure,Fantasy,Mystery,Psychological,Slice of Life,Supernatural",10,37384,86,87,2015
Jujutsu Kaisen 0,MOVIE,"Action,Supernatural",1,113470,86,86,2022
Fruits Basket: 2nd Season,TV,"Comedy,Drama,Romance,Slice of Life,Supernatural",25,108062,86,86,2020
86: Eighty Six Part 2,TV,"Action,Drama,Mecha,Sci-Fi",12,65713,86,86,2022
Haikyuu!! 2nd Season,TV,"Comedy,Drama,Sports",25,246699,86,86,2016
Odd Taxi,TV,"Drama,Mystery,Psychological",13,68032,86,86,2021
Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen,TV,"Comedy,Psychological,Romance,Slice of Life",12,246584,86,86,2020
Fate/stay night [Heaven's Feel] III. spring song,MOVIE,"Action,Drama,Fantasy,Psychological,Supernatural,Thriller",1,60735,86,86,2020
"Shin Evangelion Movie:||",MOVIE,"Action,Drama,Mecha,Psychological,Sci-Fi",1,58782,86,86,2021
Gintama.: Shirogane no Tamashii-hen,TV,"Action,Comedy,Drama,Sci-Fi",12,36262,86,86,2018
Made in Abyss: Fukaki Tamashii no Reimei,MOVIE,"Action,Adventure,Drama,Fantasy,Horror,Mystery,Psychological,Sci-Fi",1,75000,86,86,2020
Suzumiya Haruhi no Shoushitsu,MOVIE,"Drama,Mystery,Sci-Fi,Supernatural",1,93210,86,86,2010
Kimetsu no Yaiba: Mugen Ressha-hen,MOVIE,"Action,Adventure,Drama,Fantasy,Mystery,Supernatural",1,252091,86,86,2020
Kimi no Na wa.,MOVIE,"Drama,Romance,Supernatural",1,384746,86,86,2016
Mushishi Zoku Shou,TV,"Adventure,Fantasy,Mystery,Psychological,Slice of Life,Supernatural",10,44596,86,86,2014
Hajime no Ippo: THE FIGHTING!,TV,"Comedy,Drama,Sports",75,65768,86,86,2001
Cowboy Bebop,TV,"Action,Adventure,Drama,Sci-Fi",26,264464,86,86,1999
ARIA The ORIGINATION,TV,"Fantasy,Sci-Fi,Slice of Life",13,23543,86,86,2008
